ProcessId,total_events,events_per_second,num_created_processes,num_created_files,num_registry_modifications,num_network_connections,num_dns_queries,num_unique_ips,num_unique_ports,suspicious_extensions,Label,prob_ransomware,pred_label
192,2,0.21175224986765484,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
316,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
464,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
512,446,8.376373368391398,1,445,0,0,0,0,0,0,-1,0.29,1
592,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
680,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
760,2,0.2695054574855141,1,0,0,0,0,0,0,0,-1,0.0007441541095246157,0
852,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
916,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
944,2,0.03321652189799206,1,0,0,0,0,0,0,0,-1,0.00033908045977011495,0
1048,2,76.92307692307692,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
1052,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
1120,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
1248,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
1468,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
1524,2,142.85714285714286,1,0,0,0,0,0,0,0,-1,0.22103280340349307,1
1716,2,13.333333333333334,1,0,0,0,0,0,0,0,-1,0.10122511109580076,0
1728,2,153.84615384615384,1,0,0,0,0,0,0,0,-1,0.22103280340349307,1
1780,2,50.0,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
1792,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2036,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2136,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2168,5,0.08658908284843447,0,0,0,0,5,0,0,0,-1,0.07,0
2344,2,14.925373134328357,1,0,0,0,0,0,0,0,-1,0.10122511109580076,0
2420,2,52.631578947368425,1,0,1,0,0,0,0,0,-1,0.11,0
2552,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
2568,2,7.2992700729927,1,0,0,0,0,0,0,0,-1,0.08160011109580076,0
2768,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2804,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2824,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
2828,2,0.21351553325504427,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
2888,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
2940,2,68.9655172413793,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
3004,2,0.28125439459991564,1,0,0,0,0,0,0,0,-1,0.0007441541095246157,0
3048,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
3220,2,7.168458781362006,1,0,0,0,0,0,0,0,-1,0.08160011109580076,0
3280,2,18.51851851851852,1,0,0,0,0,0,0,0,-1,0.10122511109580076,0
3284,2,86.95652173913044,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
3292,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
3320,2,0.059154096421177166,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
3368,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
3420,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
3696,2,1.858736059479554,1,0,0,0,0,0,0,0,-1,0.0016001110958007508,0
3712,2,117.6470588235294,1,0,0,0,0,0,0,0,-1,0.20103280340349308,1
3792,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
3816,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4028,2,1.563721657544957,1,0,0,0,0,0,0,0,-1,0.0016001110958007508,0
4032,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4052,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4208,2,0.21197668256491783,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
4228,2,11.299435028248588,1,0,0,0,0,0,0,0,-1,0.11122511109580076,0
4244,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
4400,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
4412,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4600,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
4612,2,5.763688760806917,1,0,0,0,0,0,0,0,-1,0.08160011109580076,0
