filename,sha256,num_sections,has_rsrc_section,max_entropy,avg_entropy,total_imports,suspicious_api_count,timestamp,is_dll,image_size,is_64bit
AarSvc.dll,4f4f418edf4cf86f857a05c822edc51c1063b886b0a77d194ee1f3f8bb5cc5d3,6,1,6.403409285025673,4.536327152110322,204,1,4172751625,1,716800,1
AboutSettingsHandlers.dll,2ea9008db011823518cdb123d530a862eb1c4532057aae6e891c57b04550e35a,7,1,6.436503660231131,3.7235401696500126,315,2,192094169,1,921600,1
AboveLockAppHost.dll,54e6ace454adeb628b89cdc5dcc3e0b8e67dcdaa0498b74dae16bee3ca3565b1,7,1,6.2421229621956345,3.175810936179027,178,1,3734436236,1,430080,1
accessibilitycpl.dll,182914d81ace8b4c10ea347303d5c6be1a52b86169c3e2e20784fa20c91e7025,7,1,6.286822787488228,3.458571905553722,363,4,987119039,1,311296,1
accountaccessor.dll,7d96cbd9926f5893c567f298674d4f4e7d124431837e9de26196a388c774177a,7,1,6.305808971880299,3.256197777228224,208,2,3809260876,1,303104,1
AccountsRt.dll,76b8bdaf8756a70955cd1b85bf94f3ef2cf6e9f1eeb956348a350a6c9ddf4a4d,7,1,6.336197578642317,3.763587556761041,206,4,2258697774,1,495616,1
AcGenral.dll,a5e982c1cb1e641a0d11d2493353fbc56165e595c9dfe27693bc411e6b9a2b27,7,1,6.216008052550473,3.2986216197095817,317,7,885853882,1,450560,1
AcLayers.dll,5822a5f989c96f78725e147d2c80aaa38d0e822ec3e906864af0a05819270919,7,1,6.190601986145024,3.216563608935903,225,8,390489377,1,4890624,1
amstream.dll,28508060cc537a812a38e74dfa6c2cfe9fb3135b212289ef9c1bc55ad1424af8,6,1,6.212240282142907,3.530240284214104,90,3,2286384593,1,126976,1
Analog.Shell.Broker.dll,87e09cb2b4e99f5b3e9f29de8b8dffb8ed4a6866829e421493e388bc4780e452,7,1,6.3063290548596,3.558084927275772,198,2,193990380,1,270336,1
AnalogCommonProxyStub.dll,531d508f143dbc66621df46c9c79d2724fd1b16b5798eb11c2ed3e618af479c3,6,1,5.307411660150467,2.0980387892183825,24,0,3127794815,1,45056,1
apds.dll,945fd787b7ff17c872e6ea5f27ffacd63c1cb8c786aea68ced89f380a7c6b891,7,1,6.1637744217634145,3.7202335057343787,168,6,2798907257,1,266240,1
APHostClient.dll,e7fa9e33450178aa62a48747cc988ebb306d6de424ac9bf05c3598e4bcf26ef1,7,1,6.0581742349856,2.3473786433522306,94,3,3749047033,1,98304,1
APHostRes.dll,20a1ff70dcba938a3b40b2566737d13ea0e3797193aab6d8a929c4b2dc828714,2,1,3.3431096656350743,1.8581598240302588,0,0,2226068388,1,24576,1
APHostService.dll,3cb916576c30151566086df2977a5cd8b9cba7212b3743e5511a31cbcae7aef0,7,1,6.26755607687479,3.3286525845735393,172,2,2038521538,1,393216,1
apisampling.dll,74da9ff522326bc017dc2d0fa06cc9a01e5f742168c26e323c5b98de19ed3b24,6,1,6.288597616418772,3.695468067335616,200,5,3926529879,1,327680,1
ApiSetHost.AppExecutionAlias.dll,fdcba9793c5692e96838efd24e2030ad86ce9bba31161e40a3a16524b3c5eb01,7,1,6.218439825967438,2.6649230886985125,190,2,2242593449,1,204800,1
apisetschema.dll,930dd08c00ea26641ccae35a3fa15f991efae94b357a7c136526711c96600e5f,4,1,3.465507336491721,1.3040599907290122,0,0,555175652,1,143360,1
APMon.dll,03d3d384f3c6d6033777a3ed4d351e57872bdf416fae312c7c0614e128c76b75,7,1,6.363005804980763,4.392545544119252,285,3,4124879434,1,1474560,1
APMonUI.dll,d9b6c3ad831e3d4b03fed39a139dc213b56ddd80cdde1fdc04ace52dcbf9125b,6,1,6.109343312987511,2.68573782319676,98,3,2245039030,1,77824,1
